Time,F_Scale,Location,County,State,Lat,Lon,Comments
2100,UNK,2 N NORA SPRINGS,FLOYD,IA,43.17,-93.01,FLOYD COUNTY EMERGENCY MANAGER REPORTS A BARN IS DOWN NORTH OF NORA SPRINGS...NUMEROUS LARGE TREES UPROOTED...AND 1 LARGE TREE FELL ON A HOUSE. (ARX)
2101,UNK,LUDOWICI,LONG,GA,31.71,-81.75,LUDOWICI POLICE DEPARTMENT REPORTED NICKEL SIZE HAIL AND NUMEROUS TREES AND POWERLINES DOWN IN DOWNTOWN. (CHS)
2101,UNK,5 N CLEARWATER,SEDGWICK,KS,37.58,-97.5,5 POWER POLES DOWN ALONG 135 STREET WEST AND ROAD IS BLOCKED (ICT)
2106,60,ANDOVER,BUTLER,KS,37.69,-97.14,ESTIVATED 60MPH WINDS NORTH END OF ANDOVER (ICT)
2115,UNK,5 SW EDMOND,OKLAHOMA,OK,35.6,-97.54,UTILITY LINES DOWNED AT PENN AND MEMORIAL INTERSECTIONS (OUN)
2115,61,3 SSW FREEDOM,WOODWARD,OK,36.73,-99.13,(OUN)
2115,UNK,2 S STEWARTVILLE,MOWER,MN,43.83,-92.49,TWITTER REPORT RELAYED BY KTTC WITH A REPORT OF 30 LARGE PINE TREES DOWN (ARX)
2119,60,4 N STEWARTVILLE,OLMSTED,MN,43.92,-92.49,ROCHESTER AIRPORT GUSTED TO 6O MPH AT 419 PM. (ARX)
2120,UNK,3 W OSAGE,MITCHELL,IA,43.28,-92.87,MITCHELL COUNTY EMERGENCY MANAGER REPORTS BARN FELL ON CATTLE HERD...KILLING SOME OF THE CATTLE. (ARX)
2121,60,1 W EL DORADO,BUTLER,KS,37.82,-96.88,EMERGENCY MANAGER REPORTS AN ESTIMATED 60 MPH WINDS AND PEA SIZED HAIL 1 MILE NORTH OF HWY 254 ON HIGHWAY 196. (ICT)
2130,80,1 N AUBURN,NEMAHA,NE,40.4,-95.84,MEASURED BY A HOME WEATHER STATION. (OAX)
2135,UNK,NEMAHA,NEMAHA,NE,40.34,-95.68,THUNDERSTORM WINDS ESTIMATED AT AROUND 70 TO 80 MPH DESTROYED ONE GRAIN BIN AND PARTIALLY FLATTENED TWO OTHERS NEAR NEMAHA. (OAX)
2143,UNK,4 NW ROCHESTER,OLMSTED,MN,44.05,-92.53,TWITTER REPORT RELAYED BY KTTC OF POWER OUT NEAR TARGET NORTH AND DEBRIS DOWN ON ROADS NEAR THE RAILROAD TRACKS AND ASSISI HEIGHTS. (ARX)
2145,UNK,5 NNW SCREVEN,WAYNE,GA,31.55,-82.06,SPOTTER REPORTED SEVERAL TREES DOWN ALONG GRANNY CROSBY ROAD BETWEEN OQUINN CHURCH ROAD AND NEVADA ROAD IN SCREVEN. TIME IS ESTIMATED FROM RADAR. (JAX)
2155,60,3 E FLEMINGTON,MARION,FL,29.41,-82.25,TRAINED SPOTTER ESTIMATED THUNDERSTORM WINDS NEAR 60 MPH ON I-75. (JAX)
2156,UNK,HASTINGS,DAKOTA,MN,44.73,-92.85,TREES DOWN WIND ESTIMATED 40 MPH (MPX)
2200,UNK,5 SSW BAY CITY,GOODHUE,MN,44.52,-92.48,FEW TREES DOWN (MPX)
2200,70,3 ENE COATES,DAKOTA,MN,44.73,-92.97,TREE DAMAGE REPORTED AND SOME DAMAGE TO ROOFING SHINGLES (MPX)
2201,65,4 W WINFIELD,COWLEY,KS,37.27,-97.04,(ICT)
2210,58,10 W RIVER FALLS,WASHINGTON,MN,44.86,-92.83,(MPX)
2214,58,EAU GALLE,DUNN,WI,44.69,-92.01,(MPX)
2220,UNK,RULO,RICHARDSON,NE,40.05,-95.43,DELAYED REPORT FROM LAST NIGHT...TREE DAMAGE AND SWING SET DAMAGED IN RULO AREA. (OAX)
2220,UNK,4 SE SHENANDOAH,PAGE,IA,40.72,-95.32,EXTENSIVE ROOF DAMAGE TO A BARN AND OTHER DEBRIS IN AREA. (OAX)
2220,UNK,4 N ELLSWORTH,PIERCE,WI,44.8,-92.48,FEW TREES DOWN (MPX)
2222,60,3 WNW LATHAM,BUTLER,KS,37.55,-96.69,(ICT)
2222,UNK,ST. CHARLES,WINONA,MN,43.97,-92.06,POWER LINES DOWN IN THE CITY. ONE TREE DOWN IN THE CITY AS WELL. (ARX)
2225,UNK,4 NE COUNCIL GROVE,MORRIS,KS,38.7,-96.44,DAMAGE TO A HOME AND AN OUT BUILDING WAS DESTROYED ON OLD K4 HIGHWAY. (TOP)
2240,UNK,BALDWIN,ST. CROIX,WI,44.96,-92.37,THREE INCH DIAMETER BRANCHES DOWN. (MPX)
2245,UNK,ARKANSAS CITY,COWLEY,KS,37.07,-97.04,EMERGENCY MANAGER REPROTS A 20 INCH TREE LIMB DOWN AND COVERING MOST OF THE ROADWAY ON A SIDE STREET WEST OF DOWNTOWN ARK CITY AT THE 100 BLOCK AND NORTH 5TH STREET. TI (ICT)
2249,60,STROTHER FIELD AIRPORT,COWLEY,KS,37.16,-97.03,(ICT)
2250,UNK,BRIDGEWATER,ADAIR,IA,41.25,-94.67,NUMEROUS 6 INCH TREE LIMBS DOWN AND HAIL DAMAGE TO HOUSE SIDING AND ROOF DAMAGE. HAIL SIZED UNKNOWN BUT DENTS IN THE ALUMINUM WAS QUARTER TO HALF DOLLAR SIZED. TIME EST (DMX)
2252,UNK,CLAY CENTER,CLAY,KS,39.38,-97.12,LARGE TREE DOWN IN COURTHOUSE SQUARE. TIME ESTIMATED BASED ON RADAR. (TOP)
2255,UNK,ESE MELVERN,OSAGE,KS,38.51,-95.64,A 4 FOOT DIAMETER TREE BLOWN OVER ONTO HOUSE AT THEIR LOCATION. (TOP)
2257,UNK,3 S COCHRANE,BUFFALO,WI,44.19,-91.84,TREES AND POWER LINES DOWN AROUND COCHRANE. (ARX)
2257,UNK,BUFFALO,WABASHA,WI,44.22,-91.87,POWER LINES DOWN IN THE CITY (ARX)
2259,60,1 SE ESKRIDGE,WABAUNSEE,KS,38.85,-96.1,(TOP)
2300,UNK,HORTENSE,BRANTLEY,GA,31.33,-81.96,CENTRAL DISPATCH REPORTED SOME STRUCTURAL DAMAGE TO OUTBUILDINGS IN THE HORTENSE AREA. (JAX)
2300,UNK,EUREKA,GREENWOOD,KS,37.82,-96.29,EMERGENCY MANAGER REPORTS BROKEN WINDOWS FROM HAIL DRIVEN BY THE WIND. (ICT)
2303,65,OSAGE CITY,OSAGE,KS,38.63,-95.83,(TOP)
2304,70,WALCOTT,SCOTT,IA,41.59,-90.78,RELAYED BY THE SCOTT COUNTY SHERIFFS OFFICE (DVN)
2307,UNK,COUDERAY,SAWYER,WI,45.8,-91.3,SAWYER COUNTY SHERIFF REPORTED SEVERAL BIG TREES DOWN BLOCKING PORTIONS OF COUNTY HIGHWAY C AND STATE HIGHWAY 27 AND 70 NEAR COUDERAY AND COUDERAY TOWNSHIP. (DLH)
2310,UNK,BURLINGAME,OSAGE,KS,38.75,-95.83,3 FOOT DIAMETER TREE FELL ON HOME. MOBILE HOME BLOWN 3 TO 4 FEET OFF OF ITS FOUNDATION. SEVERAL 1 FOOT DIAMETER TREES UPROOTED ON THE SOUTHEAST SIDE OF BURLINGAME. (TOP)
2315,60,7 N IUKA,STAFFORD,KS,37.83,-98.72,(DDC)
2315,UNK,NEW WINDSOR,MERCER,IL,41.2,-90.45,TREES DOWN US 67 SOUTH OF 50TH STREET. DELAYED REPORT. (DVN)
2315,UNK,GILMANTON,BUFFALO,WI,44.46,-91.68,12 POWER POLES DOWN (ARX)
2315,UNK,3 E NEW RICHMOND,ST. CROIX,WI,45.12,-92.48,SPOTTER RELAYED INFORMATION FROM SCANNER CONCERNING REPORTS OF POWER LINES DOWN BETWEEN NEW RICHMOND AND DEER PARK ALONG HIGHWAY 64. (MPX)
2316,UNK,4 NNW NAHUNTA,BRANTLEY,GA,31.27,-82,CENTRAL DISPATCH REPORTED A TREE DOWN ON A HOUSE AND A CAR AS WELL AS A TREE ACROSS THE ROAD NEAR RAYBON ROAD WEST AND OAK GROVE ROAD IN NAHUNTA. (JAX)
2324,UNK,3 N BADGER,HUMBOLDT,IA,42.66,-94.14,LARGE TREE LIMBS BROKEN AND BLOWN 100 YD. TIME ESTIMATED FROM RADAR. (DMX)
2328,UNK,5 S BILLARD AIRPORT,SHAWNEE,KS,39.01,-95.62,REPORT OF A 12-INCH TREE LIMB SNAPPED OFF OF A HEALTHY TREE NEAR LAKE SHAWNEE. (TOP)
2332,61,BILLARD AIRPORT,SHAWNEE,KS,39.08,-95.62,(TOP)
2332,60,5 W DAVENPORT,SCOTT,IA,41.56,-90.7,ALSO REPORTED NICKEL SIZE HAIL. (DVN)
2332,UNK,REDFIELD,DALLAS,IA,41.59,-94.2,SEVERAL 6 TO 8 INCH DIAMETER TREE LIMBS DOWN NEAR THE HIGH SCHOOL. TIME ESTIMATED BY RADAR (DMX)
2338,UNK,1 W EARLHAM,MADISON,IA,41.49,-94.14,SEMI BLOWN OVER (DMX)
2338,60,ADEL,DALLAS,IA,41.61,-94.03,PEA TO SMALL MARBLE SIZE HAIL (DMX)
2342,UNK,2 NW DAVENPORT,SCOTT,IA,41.58,-90.63,TREES DOWN ALONG DIVISION FROM 12TH STREET TO CENTRAL PARK TO 35TH. ROAD BLOCKED IN SPOTS. (DVN)
2343,UNK,4 ESE DALLAS CENTER,DALLAS,IA,41.66,-93.91,ROOF AND STRUCTURAL DAMAGE TO BUILDING. POSSIBLE TORNADO UNCOMFIRMED AT THIS TIME. TIME ESTIMATED. (DMX)
2347,UNK,SHELL LAKE,WASHBURN,WI,45.74,-91.9,REPORT OF AT LEAST ONE POWER LINE BLOWN DOWN IN SHELL LAKE. (DLH)
2350,59,LAWRENCE AIRPORT,DOUGLAS,KS,39.02,-95.22,(TOP)
2350,UNK,ALPHA,HENRY,IL,41.19,-90.38,TREES REPORTED DOWN. (DVN)
2353,UNK,EARLHAM,MADISON,IA,41.49,-94.12,ROOF BLOWN OFF HOUSE (DMX)
2355,UNK,1 W MCLOUTH,JEFFERSON,KS,39.2,-95.23,TREES BLOWN DOWN ON K-16 HIGHWAY ABOUT 1.5 MILES WEST OF MCLOUTH. (TOP)
2355,60,S WHITING,JACKSON,KS,39.58,-95.61,(TOP)
0000,UNK,1 SSE MAQUOKETA,JACKSON,IA,42.05,-90.66,MULTIPLE ONE FOOT DIAMETER TREES SNAPPED. DELAYED REPORT. TIME ESTIMATED (DVN)
0000,60,FALL CREEK,EAU CLAIRE,WI,44.76,-91.27,(MPX)
0003,UNK,POWHATTAN,BROWN,KS,39.76,-95.63,APPROXIMATELY 10 INCH DIAMETER LIMB DOWN IN POWHATTAN. TIME ESTIMATED BASED ON RADAR. (TOP)
0003,60,1 W CAMBRIDGE,HENRY,IL,41.3,-90.2,THE GUST OCCURRED AHEAD OF THE STORMS. THERE WAS ALOT OF BLOWING DUST. (DVN)
0004,UNK,2 N SAYLORVILLE LAKE,POLK,IA,41.77,-93.72,10 INCH DIAMETER TREE BRANCH DOWN IN POLK CITY (DMX)
0005,UNK,URICH,HENRY,MO,38.46,-94,LARGE TREE BLOWN OVER...ESTIMATED 60 MPH WINDS (EAX)
0005,UNK,3 W CADOTT,CHIPPEWA,WI,44.95,-91.21,TREES UPROOTED. ESTIMATED 60 MPH WIND. LATE REPORT. (MPX)
0007,75,ANKENY,POLK,IA,41.72,-93.61,(DMX)
0009,UNK,CAMBRIDGE,HENRY,IL,41.3,-90.19,TREES REPORTED DOWN. (DVN)
0010,61,3 NNW SHAWNEE,POTTAWATOMIE,OK,35.38,-96.94,(OUN)
0012,60,1 N EASTON KS,LEAVENWORTH,KS,39.36,-95.12,WIND REPORTED AS 60 PLUS (EAX)
0015,UNK,LEAVENWORTH,LEAVENWORTH,KS,39.32,-94.92,SEVERAL LARGE TREES DOWN (EAX)
0015,60,ATCHISON,ATCHISON,KS,39.56,-95.12,(EAX)
0015,UNK,3 N EASTON,BUCHANAN,MO,39.77,-94.64,POWER POLES DOWN (EAX)
0018,72,1 E GARDNER,JOHNSON,KS,38.81,-94.91,(EAX)
0020,UNK,PAOLA,MIAMI,KS,38.58,-94.87,NUMEROUS TREES DOWN IN THE CITY OF PAOLA (EAX)
0025,UNK,BELOIT,MITCHELL,KS,39.47,-98.11,GARAGE DOOR BLOWN OFF ITS TRACK. TIME EST FROM NEARBY AWOS. (GID)
0025,UNK,3 SW LEWISTON,WINONA,MN,43.95,-91.91,SEMI JACKED KNIFED ON I-90 IN WESTERN WINONA. (ARX)
0027,UNK,1 E ALLEMAN,POLK,IA,41.82,-93.59,POWERLINES DOWN ON HIGHWAY 69 EAST OF ALLEMAN. (DMX)
0027,UNK,2 NW MAXWELL,STORY,IA,41.91,-93.43,A FEW LARGE TREE LIMBS...8 INCHES IN DIAMETER AND ROUGHLY 20 FOOT LONG DOWN. (DMX)
0030,74,1 S LEWISTON,WINONA,MN,43.97,-91.87,(ARX)
0032,59,ST. JOSEPH,BUCHANAN,MO,39.77,-94.85,(EAX)
0035,70,GLEN ELDER,MITCHELL,KS,39.5,-98.31,TRAINED SPOTTER REPORTED WINDS ESTIMATED AT UP TO 70 MPH WITH DIME SIZE HAIL. (GID)
0037,68,KANSAS CITY,JACKSON,MO,39.12,-94.55,(EAX)
0038,UNK,ST JOSEPH,BUCHANAN,MO,39.76,-94.85,TREES AND POWERLINES DOWN (EAX)
0039,UNK,3 N WESTON,PLATTE,MO,39.46,-94.9,NUMEROUS TREES DOWN IN THE WESTON AREA ALONG AND BLOCKING 45 TO BUCHANAN COUNTY LINE (EAX)
0040,60,GRANDVIEW,JACKSON,MO,38.88,-94.52,(EAX)
0040,UNK,KANSAS CITY,JACKSON,MO,39.12,-94.55,12 INCH DIAMETER LIMBS DOWN NEAR I435 AND GREGORY (EAX)
0040,62,WINONA,WINONA,MN,44.05,-91.66,(ARX)
0040,UNK,ROLLINGSTONE,WINONA,MN,44.1,-91.82,LARGE TREE BRANCHES DOWN. SOME BRANCHES FELL ON VEHICLES AND ALSO ON A DECK...CAUSING DAMAGE (ARX)
0043,UNK,PECULIAR,CASS,MO,38.72,-94.46,58 TO 60 MPH WINDS...TWO 30 FT.TREES BLOWN DOWN. (EAX)
0045,UNK,15 S KANSAS CITY,JACKSON,MO,38.88,-94.58,65 MPH WINDS...ROOF CAPS BLOW OFF...STREET LIGHTS BLOW OFF POLE..LAWN FURNITURE BLOWN AWAY. ALL OCCURRED AT 133 AND STATE LINE. (EAX)
